name	type	group	opc_item	writes	reads	description
RPMTimerT15	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT16	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT17	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT18	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT2	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT3	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT4	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT5	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT6	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT7	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT8	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT9	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RelayAlarmN1	Boolean	СилКорпус / Входные переменные / Нории	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi3DI14		MnemoControlN	Входное реле аварии нории
RelayAlarmN10	Boolean	СилКорпус / Входные переменные / Нории				Входное реле аварии нории
RelayAlarmN2	Boolean	СилКорпус / Входные переменные / Нории			MnemoControlN	Входное реле аварии нории
RelayAlarmN3	Boolean	СилКорпус / Входные переменные / Нории			MnemoControlN	Входное реле аварии нории
RelayAlarmN4	Boolean	СилКорпус / Входные переменные / Нории	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi3DI13		MnemoControlN	Входное реле аварии нории
RelayAlarmN5	Boolean	СилКорпус / Входные переменные / Нории			MnemoControlN	Входное реле аварии нории
RelayAlarmN6	Boolean	СилКорпус / Входные переменные / Нории	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.mi3DI15		MnemoControlN	Входное реле аварии нории
RelayAlarmN7	Boolean	СилКорпус / Входные переменные / Нории			MnemoControlN	Входное реле аварии нории
RelayAlarmN8	Boolean	СилКорпус / Входные переменные / Нории			MnemoControlN	Входное реле аварии нории
RelayAlarmN9	Boolean	СилКорпус / Входные переменные / Нории			MnemoControlN	Входное реле аварии нории
RelayInC1	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInC10	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInC11	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInC12	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInC13	Boolean	СилКорпус / Входные переменные / Аспирация				Входное реле ответа пускателя аспирации
RelayInC14	Boolean	СилКорпус / Входные переменные / Аспирация				Входное реле ответа пускателя аспирации
RelayInC2	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInC3	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInC4	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInC5	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
RelayInC6	Boolean	СилКорпус / Входные переменные / Аспирация			MnemoControlC	Входное реле ответа пускателя аспирации
