SysCurrentTime	Текущее время
RelayInForwardT6	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT7	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT8	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT9	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT10	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT11	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT12	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT13	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT14	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT15	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT16	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT17	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT18	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT19	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT20	Входное реле ответа пускателя транспортера в прямом направлении
RelayInReversT1	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT2	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT3	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT4	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT5	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT6	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT7	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT8	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT9	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT10	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT11	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT12	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT13	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT14	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT15	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT16	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT17	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT18	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT19	Входное реле ответа пускателя транспортера в обратном направлении
RelayInReversT20	Входное реле ответа пускателя транспортера в обратном направлении
RelayStopInT1	Входное реле стоповой кнопки пускателя
RelayStopInT2	Входное реле стоповой кнопки пускателя
RelayStopInT3	Входное реле стоповой кнопки пускателя
RelayStopInT4	Входное реле стоповой кнопки пускателя
RelayStopInT5	Входное реле стоповой кнопки пускателя
RelayStopInT6	Входное реле стоповой кнопки пускателя
RelayStopInT7	Входное реле стоповой кнопки пускателя
RelayStopInT8	Входное реле стоповой кнопки пускателя
RelayStopInT9	Входное реле стоповой кнопки пускателя
RelayStopInT10	Входное реле стоповой кнопки пускателя
RelayStopInT11	Входное реле стоповой кнопки пускателя
RelayStopInT12	Входное реле стоповой кнопки пускателя
RelayStopInT13	Входное реле стоповой кнопки пускателя
RelayStopInT14	Входное реле стоповой кнопки пускателя
RelayStopInT15	Входное реле стоповой кнопки пускателя
RelayStopInT16	Входное реле стоповой кнопки пускателя
RelayStopInT17	Входное реле стоповой кнопки пускателя
RelayStopInT18	Входное реле стоповой кнопки пускателя
RelayStopInT19	Входное реле стоповой кнопки пускателя
RelayStopInT20	Входное реле стоповой кнопки пускателя
MembSensorAT1	Сигнал мембранного датчика транспортера
MembSensorAT2	Сигнал мембранного датчика транспортера
MembSensorAT3	Сигнал мембранного датчика транспортера
MembSensorAT4	Сигнал мембранного датчика транспортера
MembSensorAT5	Сигнал мембранного датчика транспортера
MembSensorAT6	Сигнал мембранного датчика транспортера
MembSensorAT7	Сигнал мембранного датчика транспортера
MembSensorBT1	Сигнал мембранного датчика транспортера
MembSensorBT2	Сигнал мембранного датчика транспортера
MembSensorBT3	Сигнал мембранного датчика транспортера
MembSensorBT4	Сигнал мембранного датчика транспортера
MembSensorBT5	Сигнал мембранного датчика транспортера
MembSensorBT6	Сигнал мембранного датчика транспортера
MembSensorBT7	Сигнал мембранного датчика транспортера
T6LatchOpen1	Входое реле концевика открытого состояния задвижки
T6LatchOpen2	Входое реле концевика открытого состояния задвижки
T6LatchOpen3	Входое реле концевика открытого состояния задвижки
T6LatchOpen4	Входое реле концевика открытого состояния задвижки
T6LatchOpen5	Входое реле концевика открытого состояния задвижки
T6LatchOpen6	Входое реле концевика открытого состояния задвижки
T6LatchOpen7	Входое реле концевика открытого состояния задвижки
T6LatchOpen8	Входое реле концевика открытого состояния задвижки
T6LatchOpen9	Входое реле концевика открытого состояния задвижки
T6LatchOpen10	Входое реле концевика открытого состояния задвижки
T6LatchClose1	Входое реле концевика закрытого состояния задвижки
T6LatchClose2	Входое реле концевика закрытого состояния задвижки
T6LatchClose3	Входое реле концевика закрытого состояния задвижки
